"","train_days","oos_day","spec","fcst_rmse","rw_rmse","fcst_mae","rw_mae","box_p_lag4","box_p_lag5","box_p_lag6","box_p_lag7","arch_p_lag4","arch_p_lag5","arch_p_lag6","arch_p_lag7","jb_p","dm_p_1","dm_p_2"
"39","2011-02-08/2011-02-09","2011-02-10","ARIMA(2,1,2)",0.00327291396803841,0.00342047368890328,0.00260955864001215,0.00270974455025182,0.422728537013387,0.339318713131144,0.325799796848176,0.216564421748917,0.82264355042227,0.905515899907297,0.580392003200834,0.694134183903852,0.00651262505140371,0.000160675593827676,1.8912953823722e-06
"40","2011-02-09/2011-02-10","2011-02-11","ARIMA(0,1,5)",0.00322081435983471,0.00337042760638439,0.00253353694559165,0.00265755990171795,0.999833377414284,0.962435289117304,0.902962349982287,0.436439075222273,0.0502926909274882,0.0879827959540531,0.0336486209247091,0.0539526820907992,0.0449569402013215,1.24287888990198e-06,3.4210015982391e-07
"41","2011-02-10/2011-02-11","2011-02-12","ARIMA(2,1,1)",0.00406946553191145,0.00412287546145383,0.00308603657404091,0.00314832258728693,0.834126912437056,0.819472946966332,0.695030756560558,0.643568005722886,0.00277850121081036,0.00352172071375167,0.00673780404952284,0.0104969030310718,0.000591476303438587,0.0204441177629838,0.0862462849638142
"42","2011-02-11/2011-02-12","2011-02-13","ARIMA(0,1,2)",0.004139313737373,0.0042833392260113,0.0032765888964589,0.00339866743368263,0.763889959869832,0.710136830501481,0.44182585667423,0.51929534288277,4.28148372311199e-09,9.07548602935293e-09,2.93282869101574e-08,8.28084766313353e-08,0,4.0182618563629e-07,4.42232699958664e-08
"43","2011-02-12/2011-02-13","2011-02-14","ARIMA(1,0,0) with zero mean",0.00348701258779339,0.0035456978315701,0.00271653178670367,0.00275578578257324,0.690238828333919,0.807947609809665,0.859946251468011,0.877694245365445,4.84043529647149e-06,1.17070809666497e-05,3.10751985862501e-05,5.0541437613516e-05,0,0.0274180591567245,0.00403716680874152
"44","2011-02-13/2011-02-14","2011-02-15","ARIMA(0,1,4)",0.00349619272708599,0.00361111894019637,0.00276280086881127,0.00283266289753251,0.910749748079754,0.956350090404101,0.869284636788294,0.924809133808989,0.198143541530629,0.0500585981089681,0.034650173177535,0.0583118958919082,3.76233747489962e-08,0.00252582063937654,2.31135079888902e-05
"45","2011-02-14/2011-02-15","2011-02-16","ARIMA(3,1,2)",0.00360745420283651,0.00373084424938101,0.00282198804372156,0.00289840188379255,0.890622076059043,0.95144316190794,0.920994244414852,0.942775581734898,0.288364583643277,0.320379584536663,0.410586948081296,0.505241071396324,3.8668724666735e-08,0.00172578350520793,1.12012409803281e-05
"46","2011-02-15/2011-02-16","2011-02-17","ARIMA(2,1,2)",0.00350577093578085,0.0036155156907893,0.00277520717595526,0.00283281884001947,0.482037543934302,0.473622384785717,0.599639176424665,0.534671698277418,0.0637408700316845,0.0861282011760719,0.0840552694964855,0.121938287618786,1.24712196994947e-05,0.0130982168564317,2.63744887117211e-05
"47","2011-02-16/2011-02-17","2011-02-18","ARIMA(0,1,5)",0.00333532266499617,0.00347089112584126,0.0025743957042145,0.00268210945135675,0.998188115855372,0.989833208808485,0.995064282670945,0.990305031152867,0.352234409812739,0.457037153642807,0.348333653530498,0.455962449708081,1.87563695996928e-06,2.96510382975e-06,2.21725517445684e-08
"48","2011-02-17/2011-02-18","2011-02-19","ARIMA(1,1,4)",0.00390986009207993,0.00398300765512305,0.00307551442677586,0.00316791840273132,0.997081265387906,0.993533802388344,0.993447589728607,0.991313695930377,0.0447169661059689,0.0736614004116211,0.11753730189495,0.137862416665392,1.1600530536171e-08,0.000239487848949423,0.00531224303697573
