"","train_days","oos_day","spec","fcst_rmse","rw_rmse","fcst_mae","rw_mae","box_p_lag4","box_p_lag5","box_p_lag6","box_p_lag7","jb_p","dm_p_1","dm_p_2"
"32","2011-02-01/2011-02-04","2011-02-05","ARIMA(2,1,2)",0.00379285829859095,0.00388294019052768,0.00297837138966469,0.00308169431688833,0.674743946153837,0.455832822404819,0.581947987573273,0.692735758147868,0,0.000120585592520356,0.00177771156334834
"33","2011-02-02/2011-02-05","2011-02-06","ARIMA(2,1,2)",0.00398806244545682,0.00407283100876387,0.0031704356346431,0.00321494505315689,0.624028721812364,0.101054982148613,0.16127441905461,0.199690939519957,0,0.0596799489947365,0.00297395955532957
"34","2011-02-03/2011-02-06","2011-02-07","ARIMA(0,0,3) with zero mean",0.00367678124159124,0.00380751921049975,0.00291468525772429,0.0029939298097043,0.864990270831938,0.890381306516022,0.945023300529007,0.962848766507252,0,0.000219425659090552,4.63329285773958e-08
"35","2011-02-04/2011-02-07","2011-02-08","ARIMA(0,0,3) with zero mean",0.00354341965739184,0.00366655923847783,0.0027696540384911,0.00286747817208606,0.694501633754887,0.808687841574114,0.796600861065053,0.367446579476444,0,3.12145328542322e-06,1.04980287865702e-07
"36","2011-02-05/2011-02-08","2011-02-09","ARIMA(2,0,2) with non-zero mean",0.00371065074471976,0.00380474789622476,0.00294211452921698,0.00299512065489289,0.000703822493122175,0.00171414663587155,0.000123856740584238,0.000246138631096904,7.68187317534696e-07,0.0101874323183389,3.28048440356524e-05
"37","2011-02-06/2011-02-09","2011-02-10","ARIMA(5,0,0) with zero mean",0.00330579196641894,0.00342047368890328,0.00263347242261465,0.00270974455025182,0.999967331785169,0.999967555507387,0.99999505807584,0.993349672514434,3.42511768947062e-08,5.97609888622108e-05,4.46617316024191e-08
"38","2011-02-07/2011-02-10","2011-02-11","ARIMA(2,1,2)",0.00321705109190299,0.00337042760638439,0.00252810726443227,0.00265755990171795,0.633941504434107,0.339310991463081,0.0987472919297713,0.0867511061991183,0.000131050940414545,1.13302596479143e-06,5.82515474384742e-07
"39","2011-02-08/2011-02-11","2011-02-12","ARIMA(4,1,1)",0.00406995973143043,0.00412287546145383,0.00309111297335379,0.00314832258728693,0.999715397020472,0.999142668059332,0.502013514651837,0.147957851181726,9.71235328128817e-06,0.0266123639018102,0.0797124409035904
"40","2011-02-09/2011-02-12","2011-02-13","ARIMA(2,1,2)",0.00413625355052975,0.0042833392260113,0.00327789308543094,0.00339866743368263,0.825694213334368,0.903296637866425,0.66633438624032,0.714009631967839,0,4.6342685224523e-06,4.12654034256408e-07
"41","2011-02-10/2011-02-13","2011-02-14","ARIMA(2,0,3) with zero mean",0.00344021971215775,0.0035456978315701,0.00268511347786783,0.00275578578257324,0.352460055246911,0.464789540433757,0.137330499549324,0.19960215902803,0,0.000906150825461954,6.55553492463373e-06
